E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.62,Paris_8e_01,2020-04-12 09:06:00,9,6,38.44,0.0,1.734723475976807e-18,,,,37.413202330387264,0.6116633251257367
0.78,Paris_8e_01,2020-04-12 11:06:00,11,6,60.84,0.0,0.0,38.44,,,57.318250247114044,0.7570881735116065
0.76,Paris_8e_01,2020-04-12 13:06:00,13,6,57.76,0.0,0.0,60.84,38.44,,55.825054362537024,0.7471616582944887
0.75,Paris_8e_01,2020-04-12 15:06:00,15,6,56.25,0.0,0.0,57.76,60.84,38.44,55.61249297397289,0.7457378425021282
0.73,Paris_8e_01,2020-04-12 17:06:00,17,6,53.28999999999999,0.0,0.0,56.25,57.76,60.84,54.31182514870028,0.7369655700824854
0.73,Paris_8e_01,2020-04-12 19:06:00,19,6,53.28999999999999,0.0,0.0,53.28999999999999,56.25,57.76,51.67900112229671,0.7188810828106184
0.66,Paris_8e_01,2020-04-12 21:06:00,21,6,43.56,0.0,0.0,53.28999999999999,53.28999999999999,56.25,49.09631665368595,0.7006876383502563
0.83,Paris_8e_01,2020-04-12 23:06:00,23,6,68.89,0.0,-1.734723475976807e-18,43.56,53.28999999999999,53.28999999999999,53.65018764950713,0.7324628840392332
0.62,Paris_8e_01,2020-05-12 01:06:00,1,1,38.44,0.0,1.734723475976807e-18,68.89,43.56,53.28999999999999,33.634446743278666,0.5799521251213644
0.42,Paris_8e_01,2020-05-12 03:06:00,3,1,17.639999999999997,0.0,0.0,38.44,68.89,43.56,18.27679640855389,0.4275137004653054
0.7,Paris_8e_01,2020-05-12 07:06:00,7,1,48.99999999999999,0.0,0.0,17.639999999999997,38.44,68.89,36.572536939955924,0.6047523207062204
0.52,Paris_8e_01,2020-05-12 09:06:00,9,1,27.040000000000003,0.0,0.0,48.99999999999999,17.639999999999997,38.44,40.05005893580644,0.6328511589292259
0.64,Paris_8e_01,2020-05-12 11:06:00,11,1,40.96,0.0,0.0,27.040000000000003,48.99999999999999,17.639999999999997,37.0021912025609,0.6082942643372605
0.59,Paris_8e_01,2020-05-12 13:06:00,13,1,34.809999999999995,0.0,0.0,40.96,27.040000000000003,48.99999999999999,33.512994480167926,0.5789040894670544
0.62,Paris_8e_01,2020-05-12 15:06:00,15,1,38.44,0.0,1.734723475976807e-18,34.809999999999995,40.96,27.040000000000003,35.86881429858565,0.5989057880717605
0.6,Paris_8e_01,2020-05-12 17:06:00,17,1,36.0,0.0,0.0,38.44,34.809999999999995,40.96,33.83002698081567,0.5816358567077486
0.65,Paris_8e_01,2020-05-12 19:06:00,19,1,42.25,0.0,0.0,36.0,38.44,34.809999999999995,34.3186190695001,0.5858209544690263
0.57,Paris_8e_01,2020-05-12 21:06:00,21,1,32.489999999999995,0.0,0.0,42.25,36.0,38.44,35.15254209065859,0.5928957926200741
0.75,Paris_8e_01,2020-05-12 23:06:00,23,1,56.25,0.0,0.0,32.489999999999995,42.25,36.0,43.329670272530805,0.6582527650722845
