E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.59,Rennes_03,2021-01-05 07:06:00,7,1,34.809999999999995,0.0,0.0,,,,42.08422635326847,0.6487235648045203
0.74,Rennes_03,2021-01-05 09:06:00,9,1,54.76,0.0,0.0,34.809999999999995,,,54.94186718855732,0.7412278137560497
0.93,Rennes_03,2021-01-05 11:06:00,11,1,86.49000000000001,0.0,0.0,54.76,34.809999999999995,,72.33301882754263,0.8504882058414603
0.9,Rennes_03,2021-01-05 13:06:00,13,1,81.0,0.0,0.0,86.49000000000001,54.76,34.809999999999995,84.94967793861998,0.9216814956296995
1.0,Rennes_03,2021-01-05 15:06:00,15,1,100.0,0.0,0.0,81.0,86.49000000000001,54.76,95.61750810112521,0.9778420532024853
0.95,Rennes_03,2021-01-05 17:06:00,17,1,90.25,0.0,0.0,100.0,81.0,86.49000000000001,100.87701965715578,1.00437552567332
0.9,Rennes_03,2021-01-05 19:06:00,19,1,81.0,0.0,0.0,90.25,100.0,81.0,97.52936906729725,0.9875695877622865
1.06,Rennes_03,2021-01-05 21:06:00,21,1,112.36000000000001,0.0,0.0,81.0,90.25,100.0,101.36215429528608,1.006787734804542
1.01,Rennes_03,2021-01-05 23:06:00,23,1,102.01,0.0,0.0,112.36000000000001,81.0,90.25,105.50263554824232,1.0271447587766893
0.7,Rennes_03,2021-01-06 01:06:00,1,2,48.99999999999999,0.0,0.0,102.01,112.36000000000001,81.0,55.433742302817954,0.7445383959395107
0.71,Rennes_03,2021-01-06 03:06:00,3,2,50.41,0.0,0.0,48.99999999999999,102.01,112.36000000000001,37.386743810486024,0.611447003512864
0.58,Rennes_03,2021-01-06 05:06:00,5,2,33.63999999999999,0.0,1.734723475976807e-18,50.41,48.99999999999999,102.01,34.38985457206213,0.5864286365114014
0.59,Rennes_03,2021-01-06 07:06:00,7,2,34.809999999999995,0.0,0.0,33.63999999999999,50.41,48.99999999999999,36.862523061793674,0.6071451478995256
