E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
1.17,Rennes_04,2021-01-05 07:06:00,7,1,136.89,0.0,0.0,,,,211.96611923049048,1.455905626167062
1.59,Rennes_04,2021-01-05 09:06:00,9,1,252.81000000000003,0.0,0.0,136.89,,,215.67540523721652,1.4685891366792023
1.77,Rennes_04,2021-01-05 11:06:00,11,1,313.29,0.0,0.0,252.81000000000003,136.89,,296.8311717560253,1.7228789039164223
1.75,Rennes_04,2021-01-05 13:06:00,13,1,306.25,0.0,0.0,313.29,252.81000000000003,136.89,347.1641124738863,1.863234049908616
2.14,Rennes_04,2021-01-05 15:06:00,15,1,457.96,0.0,0.0,306.25,313.29,252.81000000000003,366.9824709165987,1.9156786549852214
2.03,Rennes_04,2021-01-05 17:06:00,17,1,412.08999999999986,0.0,0.0,457.96,306.25,313.29,422.05255494373165,2.0543917711666673
2.18,Rennes_04,2021-01-05 19:06:00,19,1,475.24000000000007,0.0,0.0,412.08999999999986,457.96,306.25,465.8215162282558,2.1582898698466244
2.18,Rennes_04,2021-01-05 21:06:00,21,1,475.24000000000007,0.0,0.0,475.24000000000007,412.08999999999986,457.96,509.2507383706561,2.2566584552622406
2.08,Rennes_04,2021-01-05 23:06:00,23,1,432.64000000000004,0.0,0.0,475.24000000000007,475.24000000000007,412.08999999999986,509.79889001225524,2.2578726492259373
1.59,Rennes_04,2021-01-06 01:06:00,1,2,252.81000000000003,0.0,0.0,432.64000000000004,475.24000000000007,475.24000000000007,277.3934854216623,1.6655133905846038
1.51,Rennes_04,2021-01-06 03:06:00,3,2,228.01,0.0,0.0,252.81000000000003,432.64000000000004,475.24000000000007,181.84588874204252,1.3485024610361025
1.04,Rennes_04,2021-01-06 05:06:00,5,2,108.16000000000001,0.0,0.0,228.01,252.81000000000003,432.64000000000004,164.12897183092528,1.2811282989260884
1.67,Rennes_04,2021-01-06 07:06:00,7,2,278.89,0.0,0.0,108.16000000000001,228.01,252.81000000000003,236.38491092269095,1.5374814175224718
1.76,Rennes_04,2021-01-06 09:06:00,9,2,309.76,0.0,0.0,278.89,108.16000000000001,228.01,351.1675285715957,1.873946446864466
1.9,Rennes_04,2021-01-06 11:06:00,11,2,361.0,0.0,0.0,309.76,278.89,108.16000000000001,370.4213377335876,1.9246333098374548
2.27,Rennes_04,2021-01-06 13:06:00,13,2,515.29,0.0,0.0,361.0,309.76,278.89,471.9175996879128,2.172366450873132
2.29,Rennes_04,2021-01-06 15:06:00,15,2,524.4100000000001,0.0,-1.734723475976807e-18,515.29,361.0,309.76,497.79280026981667,2.231127070047371
2.29,Rennes_04,2021-01-06 17:06:00,17,2,524.4100000000001,0.0,-1.734723475976807e-18,524.4100000000001,515.29,361.0,533.9558275664582,2.310748423274282
2.21,Rennes_04,2021-01-06 19:06:00,19,2,488.41,0.0,0.0,524.4100000000001,524.4100000000001,515.29,569.0389289383252,2.3854536862792477
2.38,Rennes_04,2021-01-06 21:06:00,21,2,566.4399999999999,0.0,0.0,488.41,524.4100000000001,524.4100000000001,585.5582187761855,2.4198310246299957
2.43,Rennes_04,2021-01-06 23:06:00,23,2,590.49,0.0,0.0,566.4399999999999,488.41,524.4100000000001,590.8762836007795,2.4307946922781847
1.66,Rennes_04,2021-01-07 01:06:00,1,3,275.56,0.0,-1.734723475976807e-18,590.49,566.4399999999999,488.41,283.52299570983075,1.6838141100187713
1.24,Rennes_04,2021-01-07 03:06:00,3,3,153.76,0.0,1.734723475976807e-18,275.56,590.49,566.4399999999999,159.29168766288757,1.2621081081384733
1.22,Rennes_04,2021-01-07 05:06:00,5,3,148.84,0.0,0.0,153.76,275.56,590.49,135.68171471901968,1.1648249427232389
1.16,Rennes_04,2021-01-07 07:06:00,7,3,134.55999999999997,0.0,1.734723475976807e-18,148.84,153.76,275.56,201.9811521956591,1.4212007324641343
1.52,Rennes_04,2021-01-07 09:06:00,9,3,231.04,0.0,0.0,134.55999999999997,148.84,153.76,211.35519026798625,1.4538060058618079
1.5,Rennes_04,2021-01-07 11:06:00,11,3,225.0,0.0,0.0,231.04,134.55999999999997,148.84,261.77584680365914,1.6179488459270248
1.51,Rennes_04,2021-01-07 13:06:00,13,3,228.01,0.0,0.0,225.0,231.04,134.55999999999997,257.59542104346264,1.6049779470243903
1.73,Rennes_04,2021-01-07 15:06:00,15,3,299.29,0.0,0.0,228.01,225.0,231.04,267.64243560929134,1.6359781037938477
1.97,Rennes_04,2021-01-07 17:06:00,17,3,388.09,0.0,0.0,299.29,228.01,225.0,340.42483655170486,1.8450605316674704
1.42,Rennes_04,2021-01-07 19:06:00,19,3,201.64,0.0,0.0,388.09,299.29,228.01,345.58785129903924,1.8589993310892805
1.75,Rennes_04,2021-01-07 21:06:00,21,3,306.25,0.0,0.0,201.64,388.09,299.29,282.8942159115771,1.6819459441717415
1.75,Rennes_04,2021-01-07 23:06:00,23,3,306.25,0.0,0.0,306.25,201.64,388.09,359.76379712082445,1.8967440447272386
1.85,Rennes_04,2021-01-08 01:06:00,1,4,342.25,0.0,0.0,306.25,306.25,201.64,271.5257664605788,1.6478038914281603
1.3,Rennes_04,2021-01-08 03:06:00,3,4,169.0,0.0,0.0,342.25,306.25,306.25,189.807350007692,1.3777058830087503
1.27,Rennes_04,2021-01-08 05:06:00,5,4,161.29,0.0,0.0,169.0,342.25,306.25,158.46895052034955,1.258844511924922
1.19,Rennes_04,2021-01-08 07:06:00,7,4,141.60999999999999,0.0,0.0,161.29,169.0,342.25,205.59707299887836,1.4338656596727546
1.37,Rennes_04,2021-01-08 09:06:00,9,4,187.69000000000003,0.0,0.0,141.60999999999999,161.29,169.0,202.76467731632573,1.423954624685512
1.41,Rennes_04,2021-01-08 11:06:00,11,4,198.80999999999997,0.0,0.0,187.69000000000003,141.60999999999999,161.29,237.00253180399704,1.5394886547292157
1.5,Rennes_04,2021-01-08 13:06:00,13,4,225.0,0.0,0.0,198.80999999999997,187.69000000000003,141.60999999999999,253.5906029366288,1.592452834267404
1.56,Rennes_04,2021-01-08 15:06:00,15,4,243.36,0.0,0.0,225.0,198.80999999999997,187.69000000000003,263.07622003586215,1.6219624534367685
1.65,Rennes_04,2021-01-08 17:06:00,17,4,272.24999999999994,0.0,0.0,243.36,225.0,198.80999999999997,279.80351614611317,1.6727328422258982
1.73,Rennes_04,2021-01-08 19:06:00,19,4,299.29,0.0,0.0,272.24999999999994,243.36,225.0,304.72651518511157,1.7456417593112041
1.55,Rennes_04,2021-01-08 21:06:00,21,4,240.25000000000003,0.0,0.0,299.29,272.24999999999994,243.36,332.63583995198246,1.823830693765138
1.87,Rennes_04,2021-01-08 23:06:00,23,4,349.69000000000005,0.0,0.0,240.25000000000003,299.29,272.24999999999994,297.2775439274907,1.72417384253297
1.89,Rennes_04,2021-01-09 01:06:00,1,5,357.21,0.0,0.0,349.69000000000005,240.25000000000003,299.29,302.5584546148866,1.7394207501777328
1.35,Rennes_04,2021-01-09 03:06:00,3,5,182.25000000000003,0.0,0.0,357.21,349.69000000000005,240.25000000000003,198.36775716160616,1.4084308898970024
1.25,Rennes_04,2021-01-09 05:06:00,5,5,156.25,0.0,0.0,182.25000000000003,357.21,349.69000000000005,156.58689648321266,1.2513468603197624
1.35,Rennes_04,2021-01-09 07:06:00,7,5,182.25000000000003,0.0,0.0,156.25,182.25000000000003,357.21,223.7307763776644,1.495763271302195
1.65,Rennes_04,2021-01-09 09:06:00,9,5,272.24999999999994,0.0,0.0,182.25000000000003,156.25,182.25000000000003,243.27095965785531,1.559714588179053
1.9,Rennes_04,2021-01-09 11:06:00,11,5,361.0,0.0,0.0,272.24999999999994,182.25000000000003,156.25,308.88661381827103,1.757517037807233
2.17,Rennes_04,2021-01-09 13:06:00,13,5,470.89,0.0,0.0,361.0,272.24999999999994,182.25000000000003,411.29521619871696,2.0280414596322163
2.06,Rennes_04,2021-01-09 15:06:00,15,5,424.35999999999996,0.0,0.0,470.89,361.0,272.24999999999994,471.25980885780746,2.1708519269121225
1.94,Rennes_04,2021-01-09 17:06:00,17,5,376.35999999999996,0.0,0.0,424.35999999999996,470.89,361.0,445.42905220845455,2.11051901722883
2.06,Rennes_04,2021-01-09 19:06:00,19,5,424.35999999999996,0.0,0.0,376.35999999999996,424.35999999999996,470.89,451.69477427382844,2.125311210796735
2.41,Rennes_04,2021-01-09 21:06:00,21,5,580.8100000000001,0.0,0.0,424.35999999999996,376.35999999999996,424.35999999999996,461.02576750897714,2.147151060146857
2.24,Rennes_04,2021-01-09 23:06:00,23,5,501.76000000000005,0.0,0.0,580.8100000000001,424.35999999999996,376.35999999999996,555.732890237158,2.3573987576079656
1.7,Rennes_04,2021-01-10 01:06:00,1,6,288.99999999999994,0.0,0.0,501.76000000000005,580.8100000000001,424.35999999999996,298.1091135050803,1.7265836600207947
1.45,Rennes_04,2021-01-10 03:06:00,3,6,210.25,0.0,0.0,288.99999999999994,501.76000000000005,580.8100000000001,169.58140155485947,1.302234239892576
1.23,Rennes_04,2021-01-10 05:06:00,5,6,151.29,0.0,0.0,210.25,288.99999999999994,501.76000000000005,154.72750564662348,1.2438951147368635
1.75,Rennes_04,2021-01-10 07:06:00,7,6,306.25,0.0,0.0,151.29,210.25,288.99999999999994,217.83947448851944,1.4759385979386792
1.9,Rennes_04,2021-01-10 09:06:00,9,6,361.0,0.0,0.0,306.25,151.29,210.25,364.2324679409981,1.908487537137715
2.02,Rennes_04,2021-01-10 11:06:00,11,6,408.04,0.0,0.0,361.0,306.25,151.29,420.1000304537607,2.049634187980286
2.43,Rennes_04,2021-01-10 13:06:00,13,6,590.49,0.0,0.0,408.04,361.0,306.25,519.3828235463543,2.2789971995295524
2.23,Rennes_04,2021-01-10 15:06:00,15,6,497.29,0.0,0.0,590.49,408.04,361.0,510.12786249780123,2.25860103271428
2.08,Rennes_04,2021-01-10 17:06:00,17,6,432.64000000000004,0.0,0.0,497.29,590.49,408.04,528.8798915761655,2.2997388799082508
2.18,Rennes_04,2021-01-10 19:06:00,19,6,475.24000000000007,0.0,0.0,432.64000000000004,497.29,590.49,492.6949051610571,2.219673185766448
2.11,Rennes_04,2021-01-10 21:06:00,21,6,445.21,0.0,0.0,475.24000000000007,432.64000000000004,497.29,504.82789738598944,2.246837549503723
2.03,Rennes_04,2021-01-10 23:06:00,23,6,412.08999999999986,0.0,0.0,445.21,475.24000000000007,432.64000000000004,505.73706503306755,2.2488598556447834
1.57,Rennes_04,2021-01-11 01:06:00,1,0,246.49,0.0,0.0,412.08999999999986,445.21,475.24000000000007,280.77269766330227,1.6756273382327656
1.43,Rennes_04,2021-01-11 03:06:00,3,0,204.48999999999998,0.0,0.0,246.49,412.08999999999986,445.21,188.78590918315575,1.373993847086499
1.34,Rennes_04,2021-01-11 05:06:00,5,0,179.56000000000003,0.0,0.0,204.48999999999998,246.49,412.08999999999986,159.3273335232218,1.2622493157978807
1.42,Rennes_04,2021-01-11 07:06:00,7,0,201.64,0.0,0.0,179.56000000000003,204.48999999999998,246.49,244.59948897887028,1.5639676754296117
1.64,Rennes_04,2021-01-11 09:06:00,9,0,268.9599999999999,0.0,1.734723475976807e-18,201.64,179.56000000000003,204.48999999999998,273.1896299093298,1.6528449107805907
1.87,Rennes_04,2021-01-11 11:06:00,11,0,349.69000000000005,0.0,0.0,268.9599999999999,201.64,179.56000000000003,327.5423531247736,1.8098131205314367
